iter	RMSE
0	1025179.25
1	983415.3263
2	945344.6775
3	910930.5947
4	876237.7485
5	844520.5479
6	817150.4485
7	789670.2181
8	764517.3446
9	741004.1637
10	717898.6684
11	698032.8235
12	677637.0068
13	658350.4959
14	640923.5313
15	624258.8117
16	608370.925
17	594411.9664
18	580139.4278
19	568682.2304
20	556780.2731
21	545930.0334
22	536188.6794
23	526572.1628
24	518007.8435
25	509885.2184
26	502849.2126
27	495065.5198
28	488630.0736
29	482679.9551
30	477252.2116
31	472026.8075
32	467393.6933
33	462665.8689
34	458623.1706
35	454627.9348
36	451227.2845
37	447680.9427
38	444789.0361
39	441824.9166
40	438855.8341
41	436591.8185
42	433962.1258
43	432193.3147
44	430635.7217
45	428890.9203
46	426837.5574
47	425310.2659
48	423868.6651
49	421754.3281
50	420015.0187
51	418331.5532
52	416999.8372
53	415842.1853
54	414809.7729
55	413760.4773
56	411859.7094
57	410618.622
58	408976.5518
59	407987.2693
60	407233.8092
61	406137.0661
62	405463.1791
63	404745.9797
64	403499.3614
65	402903.0357
66	402395.5949
67	401386.5487
68	399906.1383
69	399610.8215
70	399356.8417
71	398962.987
72	398541.8919
73	397948.7508
74	397591.0848
75	397305.0277
76	396898.459
77	396536.6505
78	396184.7854
79	395706.3038
80	395445.8368
81	395184.9085
82	394808.7305
83	394638.9919
84	394240.8745
85	393477.4821
86	393277.449
87	393010.946
88	392862.1305
89	392717.1276
90	392501.8344
91	392268.7222
92	391559.8391
93	391311.9496
94	390423.25
95	390081.7243
96	389727.4917
97	389543.6998
98	388949.8522
99	388401.9172
100	388097.5194
101	388011.4226
102	387806.2564
103	387139.237
104	386977.7938
105	386555.6026
106	386339.7527
107	386230.2631
108	386066.8429
109	385969.1899
110	385795.0369
111	385611.5032
112	385276.4295
113	385172.2463
114	384948.8773
115	384909.6899
116	384750.7038
117	384394.6816
118	384048.6987
119	383570.8371
120	383436.0752
121	383220.7725
122	382623.6458
123	382538.4793
124	382354.3707
125	382271.9768
126	382022.8154
127	381733.286
128	381297.5465
129	381168.8039
130	381069.3684
131	380748.3832
132	380267.9912
133	380176.5754
134	380067.4882
