iter	Passed	Remaining
0	8	8136
1	23	11733
2	30	10176
3	36	9139
4	40	8067
5	46	7647
6	50	7185
7	55	6827
8	59	6507
9	64	6429
10	69	6249
11	73	6026
12	76	5840
13	80	5687
14	85	5586
15	88	5463
16	92	5360
17	96	5256
18	99	5132
19	103	5071
20	106	4979
21	110	4894
22	114	4844
23	117	4766
24	121	4739
25	124	4670
26	128	4623
27	132	4591
28	135	4541
29	138	4487
30	142	4451
31	145	4407
32	149	4390
33	152	4342
34	155	4300
35	160	4285
36	163	4249
37	166	4225
38	170	4205
39	174	4176
40	178	4164
41	181	4136
42	184	4107
43	188	4095
44	192	4075
45	195	4048
46	198	4032
47	201	4005
48	205	3980
49	209	3979
50	212	3953
51	216	3940
52	219	3919
53	223	3910
54	227	3903
55	230	3884
56	233	3862
57	237	3858
58	240	3840
59	244	3829
60	247	3811
61	250	3794
62	254	3790
63	257	3770
64	260	3753
65	264	3747
66	268	3740
67	272	3728
68	275	3719
69	278	3702
70	282	3700
71	286	3691
72	289	3678
73	293	3673
74	296	3662
75	299	3646
76	304	3646
77	307	3632
78	311	3626
79	314	3613
80	317	3604
81	321	3599
82	325	3591
83	328	3579
84	332	3577
85	335	3565
86	339	3560
87	343	3558
88	346	3544
89	350	3546
90	353	3535
91	357	3532
92	361	3522
93	364	3516
94	368	3511
95	372	3504
96	375	3492
97	379	3490
98	382	3482
99	385	3473
100	389	3468
101	392	3456
102	396	3454
103	400	3447
104	403	3439
105	407	3437
106	410	3428
107	415	3427
108	418	3418
109	421	3408
110	424	3401
111	428	3397
112	431	3388
113	435	3385
114	438	3378
115	442	3369
116	446	3372
117	449	3362
118	453	3359
119	457	3351
120	460	3346
121	464	3342
122	467	3334
123	470	3325
124	474	3324
125	478	3316
126	481	3310
127	484	3301
128	487	3294
129	492	3295
130	495	3287
131	498	3279
132	502	3276
133	506	3270
134	509	3265
135	513	3259
136	516	3251
137	520	3250
138	523	3245
139	525	3230
140	529	3225
141	532	3219
142	536	3213
143	540	3213
144	543	3206
145	547	3202
146	551	3201
147	555	3198
148	559	3194
149	562	3189
150	565	3181
151	570	3181
152	573	3173
153	577	3170
154	580	3164
155	583	3157
156	587	3157
157	590	3149
158	594	3144
159	598	3139
160	601	3132
161	604	3125
162	608	3122
163	611	3115
164	614	3112
165	618	3106
166	621	3100
167	625	3098
168	632	3109
169	636	3109
170	640	3105
171	644	3102
172	647	3095
173	651	3090
174	654	3087
175	658	3081
176	661	3075
177	665	3072
178	668	3066
179	672	3062
180	675	3056
181	678	3050
182	683	3049
183	686	3042
184	689	3036
185	693	3033
186	696	3029
187	700	3026
188	703	3020
189	707	3014
190	711	3012
191	714	3007
192	717	3001
193	721	2998
194	725	2993
195	729	2992
196	732	2986
197	735	2980
198	739	2977
199	742	2971
200	746	2966
201	750	2963
202	753	2957
203	756	2951
204	760	2950
205	763	2944
206	767	2940
207	770	2935
208	774	2929
209	778	2928
210	781	2922
211	784	2917
212	789	2915
213	792	2910
214	796	2906
215	799	2900
216	802	2895
217	806	2892
218	809	2888
219	813	2882
220	817	2881
221	820	2875
222	824	2871
223	827	2867
224	831	2862
225	835	2859
226	838	2854
227	841	2849
228	845	2848
229	848	2842
230	851	2836
231	856	2834
232	859	2828
233	863	2825
234	866	2819
235	869	2813
236	873	2813
237	877	2808
238	880	2802
239	883	2798
240	886	2793
241	890	2789
242	893	2784
243	897	2779
244	899	2773
245	903	2770
246	907	2765
247	911	2762
248	914	2757
249	917	2751
250	921	2749
251	924	2744
252	927	2739
253	931	2735
254	934	2731
255	938	2726
256	941	2721
257	944	2716
258	948	2714
259	952	2710
260	955	2704
261	959	2701
262	963	2699
263	969	2701
264	973	2698
265	976	2695
266	981	2694
267	986	2693
268	990	2690
269	994	2687
270	999	2687
271	1002	2684
272	1007	2682
273	1010	2677
274	1013	2673
275	1017	2670
276	1020	2664
277	1029	2673
278	1032	2668
279	1036	2665
280	1039	2660
281	1042	2655
282	1046	2651
283	1049	2647
284	1055	2648
285	1058	2642
286	1062	2639
287	1065	2634
288	1072	2639
289	1079	2641
290	1083	2640
291	1087	2636
292	1090	2631
293	1094	2628
294	1097	2623
295	1101	2619
296	1104	2614
297	1107	2609
298	1112	2608
299	1116	2604
300	1119	2599
301	1123	2595
302	1126	2591
303	1129	2586
304	1133	2581
305	1136	2576
306	1139	2572
307	1145	2573
308	1150	2573
309	1155	2572
310	1160	2571
311	1164	2568
312	1169	2566
313	1182	2583
314	1188	2583
315	1194	2585
316	1199	2583
317	1203	2581
318	1207	2578
319	1212	2576
320	1216	2572
321	1220	2569
322	1223	2564
323	1227	2560
324	1230	2555
325	1233	2550
326	1238	2548
327	1241	2542
328	1244	2537
329	1247	2533
330	1251	2528
331	1254	2524
332	1257	2519
333	1260	2514
334	1265	2511
335	1268	2506
336	1272	2502
337	1276	2499
338	1279	2494
339	1284	2493
340	1287	2488
341	1292	2486
342	1296	2482
343	1300	2479
344	1304	2476
345	1308	2473
346	1312	2469
347	1316	2465
348	1320	2462
349	1323	2458
350	1327	2454
351	1332	2452
352	1336	2448
353	1339	2445
354	1342	2439
355	1346	2436
356	1351	2433
357	1355	2430
358	1358	2426
359	1362	2422
360	1366	2419
361	1370	2415
362	1373	2410
363	1377	2406
364	1381	2403
365	1385	2400
366	1389	2395
367	1392	2391
368	1400	2394
369	1403	2390
370	1407	2387
371	1412	2384
372	1416	2381
373	1419	2376
374	1424	2373
375	1431	2374
376	1435	2372
377	1439	2368
378	1445	2368
379	1448	2363
380	1452	2360
381	1457	2357
382	1464	2358
383	1467	2354
384	1472	2352
385	1477	2349
386	1481	2346
387	1484	2342
388	1489	2338
389	1494	2336
390	1499	2335
391	1503	2331
392	1508	2329
393	1512	2325
394	1516	2322
395	1523	2323
396	1527	2320
397	1531	2315
398	1535	2312
399	1540	2310
400	1544	2306
401	1548	2302
402	1553	2301
403	1557	2298
404	1561	2293
405	1565	2289
406	1572	2291
407	1576	2287
408	1580	2283
409	1586	2282
410	1589	2277
411	1592	2273
412	1597	2270
413	1602	2268
414	1606	2264
415	1609	2259
416	1613	2255
417	1618	2253
418	1623	2250
419	1626	2246
420	1631	2244
421	1635	2239
422	1639	2235
423	1643	2232
424	1647	2228
425	1651	2224
426	1654	2219
427	1658	2216
428	1665	2216
429	1670	2214
430	1673	2209
431	1679	2208
432	1682	2203
433	1687	2201
434	1693	2199
435	1698	2197
436	1702	2192
437	1706	2189
438	1711	2186
439	1715	2183
440	1718	2178
441	1725	2178
442	1730	2176
443	1734	2172
444	1737	2167
445	1743	2166
446	1747	2161
447	1751	2157
448	1757	2156
449	1763	2155
450	1766	2150
451	1771	2147
452	1775	2143
453	1779	2139
454	1783	2136
455	1787	2132
456	1791	2129
457	1795	2124
458	1798	2120
459	1807	2121
460	1811	2118
461	1814	2113
462	1820	2111
463	1824	2107
464	1827	2102
465	1831	2099
466	1836	2095
467	1840	2091
468	1843	2087
469	1847	2083
470	1851	2079
471	1854	2074
472	1858	2070
473	1861	2065
474	1864	2061
475	1868	2057
476	1871	2052
477	1874	2047
478	1878	2043
479	1882	2039
480	1886	2035
481	1889	2030
482	1892	2025
483	1896	2021
484	1899	2016
485	1902	2012
486	1906	2008
487	1909	2003
488	1913	2000
489	1917	1995
490	1919	1990
491	1923	1986
492	1926	1981
493	1930	1977
494	1933	1973
495	1937	1968
496	1940	1963
497	1944	1960
498	1947	1955
499	1951	1951
500	1955	1947
501	1958	1942
502	1962	1938
503	1965	1934
504	1968	1929
505	1972	1925
506	1975	1921
507	1979	1916
508	1983	1913
509	1986	1908
510	1990	1904
511	1994	1900
512	1997	1896
513	2001	1892
514	2004	1887
515	2008	1883
516	2011	1879
517	2015	1874
518	2018	1870
519	2021	1866
520	2025	1861
521	2029	1858
522	2032	1853
523	2035	1849
524	2040	1845
525	2043	1841
526	2047	1837
527	2050	1833
528	2053	1828
529	2057	1824
530	2061	1820
531	2064	1815
532	2068	1812
533	2071	1807
534	2075	1803
535	2078	1799
536	2081	1794
537	2085	1790
538	2089	1786
539	2092	1782
540	2096	1778
541	2099	1773
542	2102	1769
543	2106	1765
544	2109	1761
545	2112	1756
546	2116	1752
547	2119	1748
548	2123	1744
549	2126	1739
550	2129	1735
551	2134	1732
552	2138	1728
553	2142	1725
554	2145	1720
555	2149	1716
556	2153	1712
557	2155	1707
558	2158	1703
559	2162	1699
560	2168	1697
561	2174	1694
562	2177	1689
563	2180	1685
564	2184	1681
565	2187	1677
566	2190	1673
567	2193	1668
568	2200	1666
569	2203	1661
570	2205	1657
571	2209	1653
572	2213	1649
573	2216	1645
574	2220	1641
575	2223	1636
576	2227	1633
577	2231	1629
578	2234	1624
579	2238	1620
580	2242	1617
581	2245	1612
582	2249	1609
583	2252	1604
584	2257	1601
585	2260	1596
586	2263	1592
587	2267	1588
588	2271	1584
589	2274	1580
590	2278	1576
591	2281	1572
592	2284	1567
593	2288	1564
594	2291	1559
595	2295	1556
596	2298	1551
597	2302	1547
598	2306	1543
599	2309	1539
600	2312	1535
601	2316	1531
602	2320	1527
603	2325	1524
604	2330	1521
605	2334	1517
606	2337	1513
607	2341	1509
608	2344	1505
609	2347	1501
610	2350	1496
611	2354	1492
612	2358	1488
613	2361	1484
614	2365	1480
615	2368	1476
616	2371	1471
617	2375	1468
618	2378	1463
619	2382	1460
620	2385	1455
621	2388	1451
622	2392	1447
623	2395	1443
624	2398	1439
625	2402	1435
626	2405	1430
627	2408	1426
628	2412	1422
629	2415	1418
630	2418	1414
631	2422	1410
632	2425	1406
633	2428	1402
634	2432	1397
635	2437	1395
636	2440	1390
637	2443	1386
638	2447	1382
639	2451	1379
640	2454	1374
641	2458	1371
642	2461	1366
643	2465	1362
644	2468	1358
645	2472	1354
646	2478	1352
647	2481	1348
648	2485	1344
649	2488	1340
650	2491	1335
651	2496	1332
652	2499	1328
